Nome,Presenças no ano,Gênero,Total cota parlamentar usada (%),Cota disponivel gabinete
 MARIO S. M. NEGROMONTE JR.,73.0,M,100,11167559.0
 MARLON ARATOR SANTOS DA ROSA,63.0,M,100,11167559.0
 ANTONIO DA CRUZ FILGUEIRA NETO,78.0,M,100,11167559.0
 MARX BELTRÃO LIMA SIQUEIRA,85.0,M,100,11167559.0
 MAURÍCIO ALEXANDRE DZIEDRICKI,92.0,M,100,11167559.0
 CARLOS MAURO BENEVIDES FILHO,90.0,M,100,11167559.0
 MAURO RIBEIRO LOPES,86.0,M,100,11167559.0
 MAURO NAZIF RASUL,93.0,M,100,11167559.0
 MERLONG SOLANO NOGUEIRA,85.0,M,100,11167559.0
 MIGUEL LOMBARDI,94.0,M,100,11167559.0
 MILTON COELHO DA SILVA NETO,75.0,M,100,11167559.0
 MILTON VIEIRA PINTO,78.0,M,100,11167559.0
 MISAEL ARTUR FERREIRA VARELLA,72.0,M,100,11167559.0
 NELSON NED PREVIDENTE,81.0,M,100,11167559.0
 NEREU CRISPIM,76.0,M,100,11167559.0
 NERI GELLER,62.0,M,100,11167559.0
 NEUCIMAR FERREIRA FRAGA,89.0,M,100,11167559.0
 NEWTON CARDOSO JUNIOR,87.0,M,100,11167559.0
 NEY LEPREVOST NETO,58.0,M,,
 ANTONIO CARLOS NICOLETTI,77.0,M,100,11167559.0
 NILSON PINTO DE OLIVEIRA,79.0,M,100,11167559.0
 NILTO IGNACIO TATTO,89.0,M,100,11167559.0
 NIVALDO FERREIRA DE ALBUQUERQUE NETO,67.0,M,100,11167559.0
 ODAIR JOSÉ DA CUNHA,85.0,M,100,11167559.0
 OLIVAL HENRIQUE MARQUES DE SOUZA,81.0,M,100,11167559.0
 ONYX DORNELLES LORENZONI,56.0,M,100,11167559.0
 ORLANDO SILVA DE JESUS JUNIOR,88.0,M,100,11167559.0
 OSIRES RODRIGUES DAMASO,55.0,M,100,11167559.0
 OSMAR JOSÉ SERRAGLIO,92.0,M,100,11167559.0
 OSMAR GASPARINI TERRA,80.0,M,100,11167559.0
 OSSESIO JOSE DA SILVA,93.0,M,100,11167559.0
 OTONI MOURA DE PAULO JUNIOR,86.0,M,100,11167559.0
 JOSE OTACI BARROSO DO NASCIMENTO,76.0,M,100,11167559.0
 OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,87.0,M,100,11167559.0
 JOÃO CARLOS SIQUEIRA,91.0,M,100,11167559.0
 FRANCISCO EURICO DA SILVA,88.0,M,100,11167559.0
 GILDENEMIR DE LIMA SOUSA,76.0,M,100,11167559.0
 MARCO ANTÔNIO FELICIANO,85.0,M,100,11167559.0
 MANOEL ISIDORIO DE SANTANA JUNIOR,91.0,M,100,11167559.0
 PATRUS ANANIAS DE SOUZA,80.0,M,100,11167559.0
 PAULO FERNANDO DOS SANTOS,75.0,M,100,11167559.0
 PAULO PEREIRA DA SILVA,47.0,M,100,11167559.0
 PAULO ABI-ACKEL,79.0,M,100,11167559.0
 PAULO VELLOSO DANTAS AZI,84.0,M,100,11167559.0
 PAULO EDUARDO MAESTRI BENGTSON,76.0,M,100,11167559.0
 PAULO EDUARDO LIMA MARTINS,93.0,M,100,11167559.0
 PAULO ROBERTO FOLETTO,62.0,M,,
